cpd:C00001	H2O; Water
cpd:C02741	Phosphoribosyl-AMP; 1-(5-Phosphoribosyl)-AMP; N1-(5-Phospho-D-ribosyl)-AMP; 1-(5-Phospho-beta-D-ribosyl)-AMP
cpd:C02758	alpha-MSH; alpha-Intermedin; alpha-Melanotropin; alpha-Melanocyte-stimulating hormone
cpd:C02759	alpha-Pinene-oxide
cpd:C02763	enol-Phenylpyruvate; enol-Phenylpyruvic acid; 2-Hydroxy-3-phenylpropenoate; enol-alpha-Ketohydrocinnamic acid
cpd:C02765	Pseudoephedrine; (+)-Pseudoephedrine
cpd:C02773	1-Alkyl-sn-glycerol; 1-O-Alkyl-sn-glycerol
cpd:C02775	Dihydroxyindole; 2,3-Dihydroxyindole
cpd:C02798	3-Phosphonopyruvate
cpd:C02800	4,5-Dioxopentanoate; 4-Oxoglutarate semialdehyde
cpd:C02802	4-Fluorobenzoyl-CoA
cpd:C02811	Anhydrotetracycline
cpd:C02814	Hydroxyquinol; 1,2,4-Benzenetriol; Benzene-1,2,4-triol; Hydroxyhydroquinone; 1,2,4-Trihydroxybenzene
cpd:C02823	Dicopac; Cyanocobalamin; Cyanocob(III)alamin; Vitamin B12 complex
cpd:C02824	Cylamic acid; Cyclohexylsulfamate; Cyclohexylsulfamic acid; Cyclohexylamide sulfate
cpd:C02835	4-Imidazoleacetate; Imidazole-4-acetate; Imidazoleacetic acid
cpd:C02839	L-Tyrosyl-tRNA(Tyr)
cpd:C02843	Long-chain acyl-CoA
cpd:C02855	N-Phospho-D-lombricine
cpd:C02876	Propanoyl phosphate; Propionyl phosphate
cpd:C02880	Protochlorophyllide; Protochlorophyllide a
cpd:C02887	Sinapoyl malate; Sinapoyl-(S)-malate
cpd:C02888	L-Sorbose 1P; Sorbose 1-phosphate; L-Sorbose 1-phosphate; L-xylo-Hexulose 1-phosphate
cpd:C02890	Tetrahydropalmatine; (S)-Tetrahydropalmatine
cpd:C02892	Thiamin acetic acid; Thiamine acetic acid
cpd:C02906	Ampelopsin; (+)-Ampelopsin; Dihydromyricetin; (+)-Dihydromyricetin
cpd:C02909	(2-Naphthyl)methanol; 2-Naphthalenemethanol; 2-Hydroxymethylnaphthalene
cpd:C02915	(S)-cis-N-Methylcanadine
cpd:C02916	(S)-Norlaudanosoline; (S)-Tetrahydropapaveroline
cpd:C02918	1-Methylnicotinamide; N(1)-Methylnicotinamide
cpd:C02920	2'-Hydroformononetin; 2'-Hydroxyformononetin
cpd:C02923	3-Methylcatechol; 2,3-Dihydroxytoluene
cpd:C02930	2-Methyleneglutarate; alpha-Methylene glutarate
cpd:C02933	3,5-Dichlorocatechol
cpd:C02934	3-Dehydrosphinganine; 3-Dehydro-D-sphinganine
cpd:C02937	3-Indoleacetaldoxime; Indole-3-acetaldoxime; (E)-Indol-3-ylacetaldoxime; Indole-3-acetaldehyde oxime
cpd:C02938	3-Indoleacetonitrile; Indole-3-acetonitrile; Indol-3-ylacetonitrile; (Indol-3-yl)acetonitrile
cpd:C02939	Isovaleryl-CoA; 3-Methylbutanoyl-CoA
cpd:C02946	4-Acetamidobutanoate; N4-Acetylaminobutanoate
cpd:C02947	4-Coumaroylshikimate; trans-5-O-(4-Coumaroyl)shikimate
cpd:C02949	4-Hydroxybenzoyl-CoA
cpd:C02954	6-Aminopenicillanate; 6-Aminopenicillanic acid
cpd:C02960	Ceramide phosphate; Ceramide 1-phosphate
cpd:C02962	D-Allose 6-phosphate
cpd:C02972	Dihydrolipoylprotein; [H Protein]-dihydrolipoyllysine
cpd:C02977	GDP-6-deoxy-D-talose; GDP-6-deoxy-alpha-D-talose
cpd:C02984	L-Aspartyl-tRNA(Asp)
cpd:C02985	L-Fucose 1-phosphate; beta-L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate
cpd:C02987	L-Glutamyl-tRNA(Glu)
cpd:C02988	L-Histidyl-tRNA(His)
cpd:C02989	L-Methionine S-oxide
cpd:C02990	L-Palmitoylcarnitine
cpd:C02991	L-Rhamno-1,4-lactone; L-Rhamnono-1,4-lactone
cpd:C02992	L-Threonyl-tRNA(Thr)
cpd:C02995	Maltose 6'-phosphate
cpd:C03004	N-Hydroxy-L-tyrosine
cpd:C03005	N-Methylanthranilate; N-Methylanthranilic acid; 2-(Methylamino)benzoic acid
cpd:C03012	1,2-Naphthalenediol; Naphthalene-1,2-diol; beta-Naphthohydroquinone; 1,2-Dihydroxynaphthalene
cpd:C03021	Protein asparagine; Protein L-asparagine
cpd:C03028	Thiamin triphosphate; Thiamine triphosphate
cpd:C03029	Transferrin[Fe(II)]2
cpd:C03033	Glucuronide; beta-D-Glucuronide; beta-D-Glucuronoside; O-beta-D-Glucuronoside
cpd:C03035	gamma-Linolenoyl-CoA
cpd:C03043	(R)-6-Hydroxynicotine
cpd:C03044	(R,R)-2,3-Butanediol; (R,R)-Butane-2,3-diol; (R,R)-2,3-Butylene glycol
cpd:C03046	(S,S)-2,3-Butanediol; (S,S)-Butane-2,3-diol; (2S,3S)-Butane-2,3-diol; (S,S)-2,3-Butylene glycol
cpd:C03056	2,6-Dihydroxypyridine
cpd:C03057	2-Formylbenzoate; Phthalaldehydic acid; o-Formylbenzoic acid; 2-Formylbenzoic acid; 2-Carboxybenzaldehyde
cpd:C03058	2-Hydroxyglutaryl-CoA
cpd:C03063	2-Oxohept-3-enedioate; 2-Oxohept-3-ene-1,7-dioate
cpd:C03064	3-Dehydro-L-threonate
cpd:C03067	3-Hydroxybenzaldehyde
cpd:C03069	3-Methylcrotonyl-CoA; Dimethylacryloyl-CoA; 3-Methylcrotonoyl-CoA; 3-Methylbut-2-enoyl-CoA
cpd:C03077	4-Chlorophenylacetate; 4-Chlorophenylacetic acid
cpd:C03078	4-Guanidinobutanamide
cpd:C03082	4-Phospho-L-aspartate; L-4-Aspartyl phosphate
cpd:C03087	5-Acetamidopentanoate
cpd:C03089	5-Methylthio-D-ribose; S-Methyl-5-thio-D-ribose
cpd:C03090	5-Phosphoribosylamine; 5-Phospho-D-ribosylamine; 5-Phosphoribosyl-1-amine; 5-Phospho-beta-D-ribosylamine
cpd:C03092	6-endo-Hydroxycineole; 2-endo-Hydroxy-1,8-cineole
cpd:C03112	Deacetylcephalosporin C
cpd:C03114	Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole
cpd:C03117	GDP-D-rhamnose; GDP-alpha-D-rhamnose; GDP-6-deoxy-D-mannose; GDP-6-deoxy-alpha-D-mannose
cpd:C03125	L-Cysteinyl-tRNA(Cys)
cpd:C03127	L-Isoleucyl-tRNA(Ile)
cpd:C03145	N-Formylmethionine; N-Formyl-L-methionine
cpd:C03149	N-Phosphotaurocyamine; Taurocyamine phosphate; N(omega)-Phosphotaurocyamine
cpd:C03150	N-Ribosylnicotinamide; Nicotinamide-beta-riboside; 1-(beta-D-Ribofuranosyl)nicotinamide
cpd:C03160	Succinylbenzoyl-CoA; 2-Succinylbenzoyl-CoA; o-Succinylbenzoyl-CoA; 4-(2-Carboxyphenyl)-4-oxobutanoyl-CoA
cpd:C03164	Phenanthrene-3,4-diol; 3,4-Dihydroxyphenanthrene
cpd:C03166	Phosphoguanidinoacetate; Guanidinoacetate phosphate
cpd:C03167	Phosphonoacetaldehyde; 2-Oxoethylphosphonate; 2-Phosphonoacetaldehyde
cpd:C03170	Oxidized trypanothione; Trypanothione disulfide
cpd:C03175	Shikimate 3-phosphate; Shikimate 5-phosphate
cpd:C03179	Transferrin[Fe(III)]2
cpd:C03187	dTDP-beta-L-pneumose; dTDP-6-deoxy-beta-L-talose
cpd:C03190	(+)-Bornyl-diphosphate; (+)-Bornyl diphosphate
cpd:C03194	(R)-1-Aminopropan-2-ol; (R)-1-Amino-2-propanol
cpd:C03198	(S)-4-Hydroxymandelate; (S)-2-Hydroxy-2-(4-hydroxyphenyl)acetate
cpd:C03201	1-Alkyl-2-acylglycerol; 2-Acyl-1-alkyl-sn-glycerol
cpd:C03203	1-Hydroxy-2-naphthoate; 1-Hydroxy-2-naphthoic acid; 1-Naphthol-2-carboxylic acid
cpd:C03205	DOC; Cortexone; Desoxycortone; Deoxycorticosterone; 11-Deoxycorticosterone; 21-Hydroxy-4-pregnene-3,20-dione
cpd:C03206	12-Dehydrotetracycline; 5a,11a-Dehydrotetracycline
cpd:C03217	2-Hydroxy-3-oxoadipate
cpd:C03219	(E)-Isobutanal oxime; (E)-2-Methylpropanal oxime; (E)-Isobutyraldehyde oxime
cpd:C03220	(2Z,6E)-Farnesol; 2-cis,6-trans-Farnesol
cpd:C03221	(2E)-Dodecenoyl-CoA; 2-trans-Dodecenoyl-CoA; (2E)-Dodec-2-enoyl-CoA
cpd:C03223	3,4-Dihydroxyphthalate; 3,4-Dihydroxyphthalic acid
cpd:C03227	3-Hydroxy-L-kynurenine
cpd:C03230	3-Indoleglycolaldehyde; (Indol-3-yl)glycolaldehyde
cpd:C03231	3-Methylglutaconyl-CoA; trans-3-Methylglutaconyl-CoA; (E)-3-Methylglutaconyl-1-CoA
cpd:C03232	3-Phosphonooxypyruvate; 3-Phosphohydroxypyruvate; 3-Phosphonooxypyruvic acid; 3-Phosphohydroxypyruvic acid
cpd:C03233	4,5-Dihydroxyphthalate; 4,5-Dihydroxyphthalic acid
cpd:C03239	2-Oxo-6-aminocaproate; 6-Amino-2-oxohexanoate
cpd:C03240	6-Deoxyerythronolide B
cpd:C03242	8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Icosatrienoate; (8Z,11Z,14Z)-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid
cpd:C03248	2-Butynedioic acid; Acetylenedicarboxylate; Acetylenedicarboxylic acid
cpd:C03263	Coproporphyrinogen III
cpd:C03267	beta-D-Fructose 2-phosphate; beta-D-Fructofuranose 2-phosphate
cpd:C03273	5-Oxopentanoate; Glutarate semialdehyde
cpd:C03277	Imidazole pyruvate; Imidazol-5-yl-pyruvate; Imidazole pyruvic acid; 3-(Imidazol-5-yl)pyruvate
cpd:C03283	L-2,4-Diaminobutyrate; L-2,4-Diaminobutanoate; alpha,gamma-Diaminobutyrate
cpd:C03284	L-3-Amino-isobutyrate; L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate
cpd:C03287	L-Glutamyl 5-phosphate; L-Glutamate 5-phosphate
cpd:C03289	L-xylo-Hexulonolactone; L-xylo-Hex-2-ulono-1,4-lactone
cpd:C03291	L-Xylulose 5-phosphate
cpd:C03294	N-Formylmethionyl-tRNA
cpd:C03296	N2-Succinyl-L-arginine; (2S)-2-(3-Carboxypropanoylamino)-5-(diaminomethylideneamino)pentanoic acid
cpd:C03300	O-beta-D-Xylosylzeatin; O-beta-D-Xyloxylzeatin
cpd:C03309	Strictosidine aglycone
cpd:C03313	Phytonadiol; Phylloquinol; Vitamin K1 hydroquinone
cpd:C03319	dTDP-L-rhamnose; dTDP-beta-L-rhamnose; dTDP-6-deoxy-L-mannose; dTDP-6-deoxy-beta-L-mannose
cpd:C03325	(6S)-Hydroxyhyoscyamine; (6S)-6-Hydroxyhyoscyamine
cpd:C03329	(S)-Canadine; (-)-Canadine; (S)-Tetrahydroberberine; (13aS)-5,8,13,13a-Tetrahydro-9,10-dimethoxy-6H-benzo[g]-1,3-benzodioxolo[5,6-a]quinolizine
cpd:C03341	2-Amino-4-oxopentanoate; 2-Amino-4-oxopentanoic acid
cpd:C03344	2-Methylacetoacetyl-CoA; 2-Methyl-3-acetoacetyl-CoA
cpd:C03345	Tiglyl-CoA; Tigloyl-CoA; Methylcrotonyl-CoA; Methylcrotonoyl-CoA; 2-Methylcrotanoyl-CoA; 2-Methylbut-2-enoyl-CoA; (E)-2-Methylcrotonoyl-CoA; trans-2-Methylbut-2-enoyl-CoA
cpd:C03351	3-Hydroxybenzyl alcohol; 3-Hydroxybenzenemethanol
cpd:C03360	4-Nitrophenyl phosphate
cpd:C03366	5-Phosphonooxy-L-lysine; O-Phosphohydroxy-L-lysine; (5R)-5-Phosphonooxy-L-lysine
cpd:C03372	Acylglycerone phosphate; 1-Acyl-glycerone 3-phosphate; Dihydroxyacetone phosphate acyl ester
cpd:C03373	AIR; Aminoimidazole ribotide; 5'-Phosphoribosyl-5-aminoimidazole; 1-(5'-Phosphoribosyl)-5-aminoimidazole; 1-(5-Phospho-D-ribosyl)-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole
cpd:C03375	Norspermidine; Bis(3-aminopropyl)amine; 3,3'-Iminobispropylamine
cpd:C03383	D-Galactono-1,4-lactone; gamma-D-Galactonolactone
cpd:C03393	4-Phosphoerythronate; 4-Phospho-D-erythronate
cpd:C03402	Asn-tRNA(Asn); Asparaginyl-tRNA(Asn); L-Asparaginyl-tRNA(Asn)
cpd:C03406	L-Argininosuccinate; L-Arginosuccinic acid; N-(L-Arginino)succinate; L-Argininosuccinic acid; 2-(Nomega-L-Arginino)succinate
cpd:C03409	N-Formimino-L-aspartate; N-Formimidoyl-L-aspartate
cpd:C03410	NeuNGc; N-Glycolylneuraminate; N-Glycoloyl-neuraminate
cpd:C03415	N2-Succinyl-L-ornithine; (2S)-5-Amino-2-(3-carboxypropanoylamino)pentanoic acid
cpd:C03423	O-beta-D-Glucosylzeatin; trans-Zeatin-O-glucoside; O-beta-D-Glucosyl-trans-zeatin
cpd:C03427	Prephytoene diphosphate
cpd:C03428	Presqualene diphosphate
cpd:C03434	Tetrachlorohydroquinone; 2,3,5,6-Tetrachlorohydroquinone
cpd:C03438	beta-Lactam antibiotics
cpd:C03440	cis-4-Hydroxy-D-proline
cpd:C03442	dTDP-L-dihydrostreptose
cpd:C03451	S-D-Lactoylglutathione; (R)-S-Lactoylglutathione
cpd:C03453	4-Oxalocrotonate; gamma-Oxalocrotonate; (Z)-5-Oxohex-2-enedioate
cpd:C03454	1-Alkenyl-2-acylglycerol
cpd:C03455	11-cis-Retinyl palmitate
cpd:C03458	2,3,6-Trihydroxypyridine
cpd:C03459	Oxaloglycolate; 2-Hydroxy-3-oxosuccinate
cpd:C03460	Methacrylyl-CoA; Methylacrylyl-CoA; 2-Methylprop-2-enoyl-CoA
cpd:C03461	Farnesal; (2E,6E)-Farnesal; trans,trans-Farnesal; 2-trans,6-trans-Farnesal; (2E,6E)-3,7,11-Trimethyl-2,6,10-dodecatrienal
cpd:C03467	beta-Ketoisocaproate; beta-Ketoisocaproic acid; 3-Oxo-4-methylpentanoate; 4-Methyl-3-oxopentanoic acid
cpd:C03470	Strictosidine; 3-alpha(S)-Strictosidine
cpd:C03479	Leucovorin; Folinic acid; 5-Formyltetrahydrofolate; L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid
cpd:C03483	Adenosine tetraphosphate; Adenosine 5'-tetraphosphate
cpd:C03492	D-4'-Phosphopantothenate; (R)-4'-Phosphopantothenate
cpd:C03506	Indoleglycerol phosphate; Indole-3-glycerol phosphate; (3-Indolyl)-glycerol phosphate; C1-(3-Indolyl)-glycerol 3-phosphate; 1-C-(Indol-3-yl)glycerol 3-phosphate; (1S,2R)-1-C-(Indol-3-yl)glycerol 3-phosphate
cpd:C03508	L-2-Amino-acetoacetate; L-2-Amino-3-oxobutanoate; L-2-Amino-3-oxobutanoic acid; (S)-2-Amino-3-oxobutanoic acid
cpd:C03511	L-Phenylalanyl-tRNA(Phe)
cpd:C03512	L-Tryptophanyl-tRNA(Trp)
cpd:C03515	Luteolin 7-O-glucuronide; Luteolin 7-O-beta-D-glucuronide
cpd:C03516	Mg-protoporphyrin IX; Magnesium protoporphyrin; Magnesium protoporphyrin IX
cpd:C03519	N-Acetyl-L-phenylalanine
cpd:C03539	S-Ribosylhomocysteine; Ribose-5-S-homocysteine; S-Ribosyl-L-homocysteine; S-D-Ribosyl-L-homocysteine; S-(5-Deoxy-D-ribos-5-yl)-L-homocysteine
cpd:C03541	(6S)-H4PteGlu(n); THF-polyglutamate; Tetrahydrofolyl-[Glu](n); Tetrahydrofolyl-[Glu](n-1); Tetrahydropteroyl-[gamma-Glu]n; Tetrahydropteroyl-[gamma-Glu]n+1
cpd:C03546	Inositol 4-phosphate; myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate
cpd:C03547	omega-Hydroxy fatty acid
cpd:C03548	trans-2,3-Epoxysuccinate
cpd:C03557	Ciliatine; 2-Aminoethylphosphonate; (2-Aminoethyl)phosphonate
cpd:C03561	(R)-3-Hydroxybutanoyl-CoA; (3R)-3-Hydroxybutanoyl-CoA
cpd:C03564	1-Pyrroline-2-carboxylate; 1-Pyrroline 2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate
cpd:C03567	2'-Hydroxydihydrodaidzein; 2'-Hydroxy-2,3-dihydrodaidzein
cpd:C03569	2,2',3-Trihydroxybiphenyl
cpd:C03572	2-Chloro-cis,cis-muconate
cpd:C03574	2-Formylaminobenzaldehyde
cpd:C03576	CoM; HS-CoM; Reduced coenzyme M; 2-Mercaptoethanesulfonate
cpd:C03577	20-OH-LTE4; 20-OH-Leukotriene E4; 20-Hydroxyleukotriene E4
cpd:C03579	Gibberellin A8; 2beta-Hydroxygibberellin 1
cpd:C03582	Resveratrol; trans-Resveratrol; 3,4',5-Trihydroxystilbene
cpd:C03585	3-Chloro-cis,cis-muconate
cpd:C03586	3-Oxoadipate enol-lactone; 2-Oxo-2,3-dihydrofuran-5-acetate; 4,5-Dihydro-5-oxofuran-2-acetate; 5-Oxo-4,5-dihydrofuran-2-acetate
cpd:C03589	4-Hydroxy-2-oxovalerate; 4-Hydroxy-2-oxopentanoate
cpd:C03590	4-Hydroxybenzoylformate; 4-Hydroxyphenylglyoxylate; 4-Hydroxyphenylglyoxylic acid
cpd:C03594	7alpha-Hydroxycholesterol; Cholest-5-ene-3beta,7alpha-diol
cpd:C03595	8,11,14-Icosatrienoyl-CoA; 8,11,14-Eicosatrienoyl-CoA; (8Z,11Z,14Z)-Icosatrienoyl-CoA
cpd:C03598	CDPparatose; CDP-alpha-D-paratose; CDP-3,6-dideoxy-D-glucose
cpd:C03599	CDPtyvelose; CDP-3,6-dideoxy-D-mannose
cpd:C03611	Galactose oligosaccharide
cpd:C03614	Inosine 5'-tetraphosphate
cpd:C03618	L-threo-3-Methylaspartate
cpd:C03619	Methyl beta-D-galactoside; Methyl beta-D-galactopyranoside
cpd:C03621	N-Acetoxy-4-aminobiphenyl
cpd:C03622	N-Hydroxy-4-aminobiphenyl
cpd:C03640	Sphingosyl-phosphocholine
cpd:C03642	Taurolithocholate sulfate; Taurolithocholic acid 3-sulfate; 3alpha-Sulfatolithocholyltaurine
cpd:C03646	Bis-gamma-glutamylcystine; Bis-gamma-L-glutamyl-L-cystine; Oxidized gamma-glutamylcysteine; Oxidized gamma-L-glutamyl-L-cysteine
cpd:C03648	cis-3,4-Leucopelargonidin
cpd:C03652	(2R,3S)-2,3-Dimethylmalate
cpd:C03656	(S)-5-Amino-3-oxohexanoate; (S)-5-Amino-3-oxohexanoic acid
cpd:C03657	1,4-Dihydroxy-2-naphthoate; 1,4-Dihydroxy-2-naphthoic acid
cpd:C03659	1-O-Methyl-myo-inositol; 1D-1-O-Methyl-myo-inositol
cpd:C03660	3-O-Methyl-myo-inositol; 1D-3-O-Methyl-myo-inositol
cpd:C03664	2,4-D; 2,4-Dichlorophenoxyacetate; 2,4-Dichlorophenoxyacetic acid
cpd:C03671	2-Pyrone-4,6-dicarboxylate
cpd:C03672	4-Hydroxyphenyllactate; p-Hydroxyphenyllactate; 3-(4-Hydroxyphenyl)lactate; 2-Hydroxy-3-(4-hydroxyphenyl)propanoate
cpd:C03676	3-Hydroxy-cis,cis-muconate
cpd:C03677	4,21-Dehydrogeissoschizine
cpd:C03680	4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate
cpd:C03681	5alpha-Pregnane-3,20-dione; 5alpha-Dihydroprogesterone
cpd:C03683	6-Demethylsterigmatocystin
cpd:C03684	6-Pyruvoyltetrahydropterin; 6-Pyruvoyl-5,6,7,8-tetrahydropterin; 6-(1,2-Dioxopropyl)-5,6,7,8-tetrahydropterin
cpd:C03686	O-Methylsterigmatocystin; 8-O-Methylsterigmatocystin
cpd:C03688	Apo-[acyl-carrier-protein]
cpd:C03691	CMP-NeuNGc; CMP-N-glycolylneuraminate; CMP-N-glycoloylneuraminate
cpd:C03692	MGDG; Galbeta1->3acyl2Gro; Monogalactosyldiglyceride; D-Galactosyldiacylglycerol; Monogalactosyl-diacylglycerol; 3-beta-D-Galactosyl-1,2-diacylglycerol; 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol; 3-(beta-D-Galactosyl)-1,2-diacyl-sn-glycerol
cpd:C03715	O-Alkylglycerone phosphate; Alkyl-glycerone 3-phosphate; Dihydroxyacetone phosphate alkyl ether
cpd:C03719	Phenylacetothiohydroximate
cpd:C03722	Quinolinate; Quinolinic acid; Pyridine-2,3-dicarboxylate; 2,3-Pyridinedicarboxylic acid
cpd:C03724	S-(5-Hydroxy-2-furoyl)-CoA
cpd:C03733	UDP-D-galacto-1,4-furanose; UDP-alpha-D-galactofuranose; UDP-alpha-D-galacto-1,4-furanose
cpd:C03737	alpha-D-Xylose 1-phosphate
cpd:C03739	trans-1,2-Cyclohexanediol; trans-Cyclohexane-1,2-diol
cpd:C03740	(5-L-Glutamyl)-L-amino acid; L-gamma-Glutamyl-L-amino acid
cpd:C03741	L-Glutamate 1-semialdehyde; (S)-4-Amino-5-oxopentanoate
cpd:C03742	(S)-4-Hydroxymandelonitrile
cpd:C03747	11alpha-Hydroxyprogesterone
cpd:C03752	Glucosaminate; D-Glucosaminate; D-Glucosaminic acid; 2-Amino-2-deoxy-D-gluconate
cpd:C03758	Dopamine; 3,4-Dihydroxyphenethylamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 2-(3,4-Dihydroxyphenyl)ethylamine
cpd:C03765	4-Hydroxyphenylacetaldehyde; 2-(4-Hydroxyphenyl)acetaldehyde
cpd:C03771	2-Oxoarginine; 5-Guanidino-2-oxopentanoate; 2-Oxo-5-guanidinopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidino-pentanoate
cpd:C03772	5beta-Androstane-3,17-dione
cpd:C03785	D-Tagatose 1,6-bisphosphate
cpd:C03793	N6,N6,N6-Trimethyl-L-lysine
cpd:C03794	Adenylosuccinate; Adenylosuccinic acid; N6-(1,2-Dicarboxyethyl)AMP; N6-(1,2-Dicarboxyethyl)-AMP
cpd:C03819	1-Acylglycerophosphoinositol; 1-Acyl-sn-glycero-3-phosphoinositol
cpd:C03820	1-Alkyl-2-acetyl-sn-glycerol; 2-Acetyl-1-alkyl-sn-glycerol; 1-O-Alkyl-2-acetyl-sn-glycerol
cpd:C03824	2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde
cpd:C03826	2-Dehydro-3-deoxy-D-xylonate; 2-Dehydro-3-deoxy-D-pentonate; 2-Dehydro-3-deoxy-D-arabinonate; (4S)-4,5-Dihydroxy-2-oxopentanoate
cpd:C03827	2-Dehydro-3-deoxy-L-fuconate
cpd:C03838	GAR; Glycinamide ribonucleotide; 5'-Phosphoribosylglycinamide; N1-(5-Phospho-D-ribosyl)glycinamide
cpd:C03845	Zymostenol; Cholestenol; 5alpha-Cholest-8-en-3beta-ol
cpd:C03852	Androstan-3alpha,17beta-diol
cpd:C03862	Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate
cpd:C03871	L-2-Amino-6-oxopimelate; L-2-Amino-6-oxoheptanedioate
cpd:C03872	Serine phosphoethanolamine; L-Serine-phosphoethanolamine
cpd:C03882	Piperine; 1-Piperoyl-piperidine; N-[(E,E)-Piperoyl]piperidine
cpd:C03885	Nonaprenyl-4-hydroxybenzoate; 3-Nonaprenyl-4-hydroxybenzoate
cpd:C03892	Phosphatidylglycerophosphate; 3(3-Phosphatidyl-)L-glycerol 1-phosphate; 3(3-sn-Phosphatidyl)-sn-glycerol 1-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate
cpd:C03897	Quercetin 3,3',7-trissulfate
cpd:C03898	Quercetin 3,4',7-trissulfate
cpd:C03906	beta-L-Arabinose 1-phosphate
cpd:C03912	1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; (S)-1-Pyrroline-5-carboxylate
cpd:C03917	Androstanolone; Dihydrotestosterone; 17beta-Hydroxyandrostan-3-one; 17beta-Hydroxy-5alpha-androstan-3-one
cpd:C03918	2,4-Dichloro-cis,cis-muconate
cpd:C03920	Methyl-CoM; Methylcoenzyme M; 2-(Methylthio)ethanesulfonate
cpd:C03921	2-Dehydro-3-deoxy-D-glucarate
cpd:C03925	3,5-Dibromo-4-hydroxybenzoate
cpd:C03933	5-D-Glutamyl-D-glutamyl-peptide; gamma-D-Glutamyl-D-glutamyl-peptide
cpd:C03935	6beta-Hydroxyestradiol-17beta; 6beta-Hydroxy-17beta-estradiol
cpd:C03939	Acetyl-[acyl-carrier protein]
cpd:C03943	2,4-Diaminopentanoate; (2R,4S)-2,4-Diaminopentanoate; D-threo-2,4-Diaminopentanoate
cpd:C03944	DHOMST; Dihydromethylsterigmatocystin; Dihydro-O-methylsterigmatocystin; 8-O-Methyldihydrosterigmatocystin
cpd:C03951	Luteolin 7-O-glucoside; Luteolin 7-O-beta-D-glucoside; 7-O-beta-D-Glucosyl-5,7,3',4'-tetrahydroxyflavone
cpd:C03955	N6-Acetyl-N6-hydroxylysine; N6-Acetyl-N6-hydroxy-L-lysine
cpd:C03958	TRH; Protirelin; Thyroliberin; Thyrotropin-releasing hormone
cpd:C03968	1-Alkyl-sn-glycero-3-phosphate; 1-Alkyl-sn-glycerol 3-phosphate; 1-O-Alkyl-sn-glycerol 3-phosphate
cpd:C03972	2,3,4,5-Tetrahydrodipicolinate; L-2,3,4,5-Tetrahydrodipicolinate; delta1-Piperidine-2,6-dicarboxylate; (S)-2,3,4,5-Tetrahydropyridine-2,6-dicarboxylate
cpd:C03974	2-Acyl-sn-glycerol 3-phosphate
cpd:C03979	2-Dehydro-3-deoxy-L-rhamnonate
cpd:C03981	enol-Oxaloacetate; enol-Oxaloacetic acid; 2-Hydroxybut-2-enedioic acid; 2-Hydroxyethylenedicarboxylate
cpd:C03990	Lithocholate; Lithocholic acid; 3alpha-Hydroxy-5beta-cholanate; 3alpha-Hydroxy-5beta-cholanic acid
cpd:C03993	4-Hydroxybenzoate-O-glucoside; 4-(beta-D-Glucosyloxy)benzoate
cpd:C03997	5-Hydroxymethyldeoxycytidylate; 5-Hydroxymethyldeoxycytidylic acid; 2'-Deoxy-5-hydroxymethylcytidine 5'-phosphate
cpd:C04002	cis-Homoaconitate; Homo-cis-aconitate; (Z)-But-1-ene-1,2,4-tricarboxylate; (Z)-1,2,4-But-1-enetricarboxylic acid
cpd:C04006	Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-monophosphate; D-myo-Inositol 3-phosphate; L-myo-Inositol 1-phosphate; 1D-myo-Inositol 3-phosphate; 1L-myo-Inositol 1-phosphate; myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; 1D-myo-Inositol 3-monophosphate
cpd:C04020	Lysopine; D-Lysopine; N2-(D-1-Carboxyethyl)-L-lysine
