node_name,node_type
CDK2,protein
UGP2,protein
all-trans-Vitamin A aldehyde,compound
HTR1F,protein
fm_715412,protein
CYP2C9,protein
CYP2B6,protein
CYP4A22,protein
CYP2C19,protein
CYP2J2,protein
CYP4A11,protein
CYP2C8,protein
RAF1,protein
PLA2G12A,protein
fm_737687,protein
RAF1,protein
PIK3CG,protein
,compound
L-2-Amino-3-oxobutanoate,compound
Cyclic AMP,compound
fm_740126,protein
CD86,protein
CD80,protein
PRKAB1,protein
Glycerate,compound
fm_731205,protein
PRKG2,protein
PRKG1,protein
POLR2K,protein
PRKCA,protein
PPP2R5E,protein
COL4A1,protein
RAD23B,protein
OLAH,protein
FOXO1,protein
Diglyceride,compound
PLA2G3,protein
fm_721541,protein
PRKACG,protein
PRKACA,protein
PRKACB,protein
PRKX,protein
ENTPD4,protein
HLA-DRB3,protein
CALM2,protein
N-Desmethylcodeine,compound
MET,protein
ARPC3,protein
IRS1,protein
PGG2,compound
GRK6,protein
"N,N,N-Trimethylglycine",compound
PIGV,protein
,compound
IL5,protein
PDE1A,protein
3-Acetoacetyl-CoA,compound
,complex
CCND1,protein
fm_738778,protein
CDK6,protein
CDK4,protein
fm_716919,protein
SUCLG2,protein
SUCLG1,protein
SUCLA2,protein
fm_714254,protein
,protein
,protein
,protein
fm_734752,compound
3alpha-Sulfatolithocholyltaurine,compound
Indinavir,compound
Acetaminophen,compound
Vinblastine,compound
beta-D-Glucuronide,compound
,compound
Saquinavir mesilate,compound
Ritonavir,compound
,compound
LHCGR,protein
IFNA10,protein
HYAL1,protein
POLR2F,protein
GUCY1A2,protein
HBEGF,protein
TK1,protein
fm_732440,protein
CRKL,protein
ATP5F1,protein
P2RY1,protein
TAB3,protein
ECSIT,protein
SHMT2,protein
MMAB,protein
fm_709654,protein
HAO1,protein
HAO2,protein
fm_715667,protein
FUT1,protein
FUT2,protein
GPLD1,protein
(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid,compound
SCP2,protein
TGFB2,protein
NDUFS6,protein
CTSH,protein
DNMT3A,protein
PRKCA,protein
ALDH1A3,protein
CAMK2D,protein
RAB5B,protein
fm_736968,protein
LAMA2,protein
LAMB4,protein
LAMB1,protein
LAMC1,protein
LAMA1,protein
LAMA5,protein
LAMA4,protein
LAMC2,protein
LAMB3,protein
LAMB2,protein
WASF1,protein
fm_740493,protein
TPM1,protein
TPM2,protein
TPM3,protein
TPM4,protein
Fatty acid,compound
CLDN7,protein
ALDH6A1,protein
ICOSLG,protein
PKM2,protein
AOC2,protein
ALDH3A2,protein
AKT3,protein
L-Normetanephrine,compound
ADRA1A,protein
POLR3B,protein
,protein
CASP9,protein
RPA3,protein
AHCYL1,protein
FCGR2C,protein
MAT2A,protein
ADCY1,protein
SERPINB6,protein
NOS1,protein
L-Asparagine,compound
fm_706877,protein
RFNG,protein
MFNG,protein
BAAT,protein
LAMB3,protein
HEXB,protein
AMH,protein
DLD,protein
NR3C2,protein
fm_730647,protein
FBXW11,protein
TUBA1C,protein
FDPS,protein
"2-L-Carboxy-2,3-dihydroindole-5,6-quinone",compound
HSD3B1,protein
Ceftizoxime,compound
CCL11,protein
COL5A2,protein
IL1A,protein
CHP2,protein
CCBL1,protein
CFI,protein
fm_715371,protein
DEGS2,protein
DEGS1,protein
PRKCG,protein
NRAS,protein
fm_735966,protein
PLCG2,protein
PLCG1,protein
fm_718489,protein
EIF4E,protein
EIF4E1B,protein
EIF4E2,protein
fm_722903,protein
PPP2CB,protein
PPP2R1A,protein
PPP2CA,protein
PPP2R1B,protein
ATP1A3,protein
LOC652614,protein
FAH,protein
fm_715618,protein
EXT2,protein
EXT1,protein
CD4,protein
Triphosphopyridine nucleotide,compound
ATIC,protein
ADCY8,protein
BCAP31,protein
NFYC,protein
STAT1,protein
HK1,protein
CREB3,protein
ADCY1,protein
fm_711426,protein
CHST11,protein
CHST13,protein
PLA2G5,protein
UDPglucuronate,compound
RAF1,protein
fm_715762,protein
PANK4,protein
PANK1,protein
PANK2,protein
PANK3,protein
fm_719821,protein
RASGRF2,protein
RASGRF1,protein
PIK3CB,protein
fm_733629,protein
GLS,protein
fm_740039,protein
HLA-G,protein
HLA-A,protein
HLA-F,protein
HLA-E,protein
HLA-B,protein
LOC652614,protein
CPS1,protein
PIP5K1C,protein
MYH7B,protein
HLA-DQA2,protein
"D-Fructose 1,6-bisphosphate",compound
Dihydrouracile,compound
TRAF6,protein
MAP2K1,protein
fm_726149,protein
SEMA4B,protein
SEMA4G,protein
SEMA4A,protein
SEMA4F,protein
SEMA4D,protein
PPP3CC,protein
NPBWR2,protein
NDUFB4,protein
fm_714962,protein
PLCB2,protein
P4HA2,protein
GRIN1,protein
ITGA10,protein
INS,protein
PI4KA,protein
,protein
CCL24,protein
fm_730053,protein
RAC3,protein
RAC2,protein
fm_735245,protein
PRPH2,protein
PRPH,protein
GSTM4,protein
RARA,protein
DMAPP,compound
ASAH2,protein
GSTZ1,protein
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],compound
L-Methionine,compound
PPP3CB,protein
STAT1,protein
KIR2DS5,protein
,compound
MET,protein
PKLR,protein
PRKACB,protein
TEC,protein
NME2,protein
,compound
PPP1R12A,protein
L-Glutamic acid,compound
MMP2,protein
NOTCH1,protein
CSNK2B,protein
Taurochenodeoxycholic acid,compound
fm_726695,protein
ROCK1,protein
UQCRH,protein
NRAS,protein
ADH7,protein
MKNK2,protein
ETV7,protein
2-Methoxyestrone 3-glucuronide,compound
CXCR6,protein
cGMP,compound
"3,4-Dihydroxyphenylethyleneglycol",compound
IRAK1,protein
fm_732028,protein
IQGAP3,protein
IQGAP1,protein
Adenosine 5&,compound
fm_714771,protein
PI4K2A,protein
PI4KB,protein
PI4K2B,protein
PI4KA,protein
fm_703201,protein
NME3,protein
NME6,protein
NME1-NME2,protein
NME4,protein
NME5,protein
NME1,protein
NME7,protein
DRD1,protein
FGF21,protein
NEU3,protein
PYDC1,protein
ALDH2,protein
FBXO5,protein
PABPC1L2A,protein
L-2-Aminoglutaramic acid,compound
NRG1,protein
GLB1,protein
UGT2B7,protein
fm_737540,protein
CTNNA1,protein
CTNNA2,protein
CTNNA3,protein
fm_728656,protein
MAPK3,protein
D-Glucuronolactone,compound
HMGCL,protein
RB1,protein
PRKCB,protein
PLA2G4A,protein
,protein
PLA2G6,protein
MAPK8,protein
fm_702733,protein
ENTPD1,protein
ENTPD3,protein
ENTPD8,protein
GNAL,protein
ADCY1,protein
,complex
PRKCZ,protein
PARD3,protein
fm_721535,protein
TIAM2,protein
TIAM1,protein
AKT3,protein
PPP2R1A,protein
MYLPF,protein
ACTG1,protein
PIK3CA,protein
Calcium,compound
UGT2B15,protein
"D-myo-Inositol 1,4,5-trisphosphate",compound
CREBBP,protein
fm_700651,protein
PMM2,protein
PMM1,protein
P4HB,protein
,compound
B4GALT1,protein
TPM3,protein
ADAM17,protein
DERA,protein
ATP2B1,protein
TAAR1,protein
Isoniazid,compound
fm_728466,protein
IFNAR2,protein
IFNAR1,protein
IDUA,protein
"3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA",compound
CD4,protein
fm_733752,protein
ITPR1,protein
ITPR2,protein
ITPR3,protein
LOC729020,protein
PAK4,protein
"(24S)-Cholest-5-ene-3beta,7alpha,24-triol",compound
LAMC2,protein
MYLK3,protein
CDC6,protein
ARHGEF26,protein
SOCS4,protein
COL1A2,protein
GAD2,protein
Methylmalonic acid,compound
CACNA2D2,protein
DGKB,protein
HSPA1B,protein
HDAC2,protein
P4HA2,protein
LAMB2,protein
PLCB3,protein
fm_700977,protein
ALDH7A1,protein
ALDH1B1,protein
ALDH3A2,protein
ALDH2,protein
ALDH9A1,protein
fm_726008,protein
MAPK1,protein
MAPK3,protein
3-Oxotetradecanoyl-CoA,compound
MAPK1,protein
IL1B,protein
EIF3H,protein
MAPK3,protein
PPAP2C,protein
OPC4-CoA,compound
"(S)-2,3-Epoxysqualene",compound
beta-D-Glucose 6-phosphate,compound
PPP2R2A,protein
GSTM1,protein
,complex
C1S,protein
C1R,protein
FZD8,protein
,compound
ATP2B2,protein
"1,2,3-Propanetriol",compound
16alpha-Hydroxyestrone,compound
PGF,protein
RHOA,protein
NLGN3,protein
NT5C1A,protein
,protein
,protein
4alpha-Methylzymosterol-4-carboxylate,compound
AKT2,protein
CALM3,protein
D-Glucarate,compound
2-Hydroxyphenylacetate,compound
fm_734904,protein
ITPR3,protein
ITPR2,protein
KRAS,protein
,compound
THOC7,protein
TNNC2,protein
"3-Hydroxy-1,3,5(10)-estratrien-17-one",compound
ITGA4,protein
,compound
EFNA1,protein
VAV1,protein
AMY1C,protein
,compound
TGFB1,protein
alpha-D-Glucose,compound
4alpha-Methylzymosterol,compound
Deoxyinosine,compound
VEGFA,protein
CDK1,protein
GHR,protein
CYP4A22,protein
PTPRJ,protein
FZD8,protein
fm_727287,protein
HLA-F,protein
HLA-A,protein
HLA-E,protein
HLA-C,protein
HLA-G,protein
fm_715456,protein
UNC5B,protein
L-Glutamic acid,compound
ATP1A2,protein
L-Glutamic acid,compound
SDHD,protein
RXRB,protein
fm_707029,protein
CHI3L1,protein
CHIA,protein
CHIT1,protein
PRKCB,protein
MYL7,protein
Lanosterol,compound
NUDT5,protein
BTK,protein
Paraxanthine,compound
fm_715347,protein
PLD1,protein
PLD2,protein
NO,compound
fm_722838,protein
CALM3,protein
CALM2,protein
CALM1,protein
CALML3,protein
CALML6,protein
MALT1,protein
ACSL4,protein
PLCB4,protein
PLA2G4B,protein
IFNA4,protein
ARG1,protein
fm_721861,compound
,compound
,compound
UGT1A1,protein
SUMO1,protein
WNT7A,protein
HLA-DOB,protein
CTNNA3,protein
IGF1R,protein
PIK3R2,protein
RAC1,protein
CHEK2,protein
CACNA1F,protein
GOT2,protein
GUSB,protein
SLC25A5,protein
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",compound
,protein
DMD,protein
ITGB1,protein
COL4A4,protein
RHOA,protein
fm_720171,protein
RPS6KA3,protein
RPS6KA2,protein
RPS6KA6,protein
CARD11,protein
INMT,protein
HTR2B,protein
fm_737406,protein
IFIT1,protein
IFIT1B,protein
PFN2,protein
IFNA21,protein
2-Oxoarginine,compound
PTAFR,protein
SMAD3,protein
MAPK9,protein
RDH16,protein
,protein
FGG,protein
XDH,protein
SYK,protein
VPS37C,protein
O2,compound
MAPK14,protein
COX2,protein
fm_725062,protein
ADRA1A,protein
ADRA1B,protein
UGT2B11,protein
STAM,protein
ITGA3,protein
UGT1A1,protein
fm_729264,protein
IL1A,protein
IL1B,protein
,protein
PAF,compound
OPC6-CoA,compound
SOS1,protein
fm_715366,protein
PPAP2A,protein
PPAP2B,protein
PPAP2C,protein
LDHB,protein
RRM2B,protein
SEC22B,protein
HTR5A,protein
"Cholest-5-ene-3beta,7alpha,27-triol",compound
E2F1,protein
FZD8,protein
INPPL1,protein
PLA2G4E,protein
fm_740434,protein
CACNA2D2,protein
CACNG6,protein
CACNG1,protein
CACNB2,protein
CACNA2D3,protein
CACNG4,protein
CACNB4,protein
CACNB1,protein
CACNA2D1,protein
CACNA1D,protein
CACNG3,protein
CACNG5,protein
CACNA1S,protein
CACNG8,protein
CACNG2,protein
CACNA2D4,protein
CACNG7,protein
CACNB3,protein
GNAI3,protein
PLA2G4B,protein
Trichloroacetate,compound
fm_715852,protein
DAO,protein
AGXT,protein
AGXT2,protein
fm_713645,protein
,protein
,protein
,protein
PRKAR1B,protein
PIK3R2,protein
GGT6,protein
MTFMT,protein
PIK3R5,protein
INS,protein
T4,compound
fm_729411,protein
RAC2,protein
RAC3,protein
RAC1,protein
Octanoyl-CoA,compound
RRM1,protein
fm_724958,protein
COX8C,protein
COX5B,protein
COX4I2,protein
COX7A2,protein
COX1,protein
COX4I1,protein
UQCRB,protein
CYC1,protein
UQCRHL,protein
CYTB,protein
COX7C,protein
COX6C,protein
UQCRH,protein
UQCR11,protein
UQCRQ,protein
UQCRC2,protein
COX5A,protein
UQCRC1,protein
COX2,protein
COX7A2L,protein
COX6B1,protein
COX7B2,protein
COX7B,protein
COX6A1,protein
COX3,protein
CGA,protein
PTGS2,protein
CDK4,protein
LIPT2,protein
CACNB4,protein
fm_720112,protein
MAP3K2,protein
MAP3K3,protein
EPHB2,protein
IRF3,protein
fm_712452,compound
alpha-Linolenoyl-[acyl-carrier protein],compound
"(9Z,12Z,15Z)-Octadecatrienoyl-CoA",compound
ADCY7,protein
fm_734150,protein
ADCY4,protein
ADCY1,protein
ADCY5,protein
ADCY9,protein
ADCY8,protein
ADCY3,protein
ADCY7,protein
ADCY2,protein
PIK3R2,protein
GALNT12,protein
CRK,protein
UBE2D1,protein
2-Hydroxyethyl-ThPP,compound
MAP2K1,protein
fm_727643,protein
PPP2R1B,protein
PPP2CA,protein
PPP2R1A,protein
PPP2CB,protein
4-Imidazolone-5-propanoate,compound
PIK3CA,protein
SYNJ1,protein
PIK3R1,protein
IKBKB,protein
BCL2L1,protein
ACTN2,protein
HLA-DOB,protein
COL3A1,protein
Carbamoyl phosphate,compound
NOS1,protein
SOS1,protein
,protein
MYH1,protein
ATP6V1G1,protein
ABLIM3,protein
N-Acetyl-alpha-D-glucosamine 1-phosphate,compound
,compound
,compound
CBR1,protein
UGT2B4,protein
TYMP,protein
Acyl-CoA,compound
HCRTR1,protein
fm_738218,protein
SMAD3,protein
GCDH,protein
PIK3CA,protein
fm_736786,protein
JAK2,protein
MMP7,protein
HLA-DRB4,protein
fm_716674,protein
PGM1,protein
PGM2,protein
,compound
fm_722541,protein
MAD2L1,protein
MAD2L2,protein
VAMP1,protein
PIK3R1,protein
HSPA6,protein
"Naphthalene-1,2-diol",compound
fm_737571,protein
ITGAV,protein
ITGA2B,protein
ITGA3,protein
ITGA2,protein
ATP6V0A4,protein
,protein
HGD,protein
EHHADH,protein
PC,protein
TKT,protein
UGT1A6,protein
MYC,protein
PRKACB,protein
fm_708744,protein
SGPP1,protein
SGPP2,protein
MAPK1,protein
PLCB3,protein
ALDOC,protein
fm_716910,protein
IDH3A,protein
IDH3B,protein
IDH2,protein
IDH1,protein
IDH3G,protein
RAB5A,protein
PDPK1,protein
fm_730433,protein
MSN,protein
EZR,protein
CREB3L1,protein
NDUFB1,protein
fm_715604,protein
CSGALNACT2,protein
CSGALNACT1,protein
KIR2DL2,protein
MAPK8,protein
(S)-3-Hydroxy-3-methylglutaryl-CoA,compound
,compound
PIK3R3,protein
fm_705076,protein
ALDH3B1,protein
ALDH3B2,protein
ALDH1A3,protein
ALDH3A1,protein
POLR3F,protein
fm_730015,protein
MAP2K1,protein
MAP2K2,protein
Uroporphyrinogen I,compound
ITGB7,protein
THOC4,protein
GNRHR,protein
ST8SIA1,protein
CTNNB1,protein
fm_740310,protein
CD80,protein
CD86,protein
,compound
"4-Androstene-3,17-dione",compound
,compound
PI4K2A,protein
HADHB,protein
fm_725356,protein
DVL2,protein
DVL1,protein
DVL3,protein
,compound
PRKCA,protein
VAV1,protein
MC3R,protein
fm_726572,protein
SIRPB1,protein
SIRPA,protein
TREM2,protein
MME,protein
Citalopram,compound
HK3,protein
,compound
LAMA2,protein
AKR1B10,protein
FZD2,protein
IARS2,protein
3-Oxododecanoyl-CoA,compound
AGPAT4,protein
CSTF2,protein
PANK1,protein
ADIPOQ,protein
NFATC4,protein
fm_700001,protein
ALDOB,protein
ALDOC,protein
Palmitic acid,compound
GAD1,protein
CA2,protein
fm_713685,protein
,protein
Isobutyryl-CoA,compound
fm_730187,protein
CRK,protein
CRKL,protein
fm_707786,protein
IMPA1,protein
IMPA2,protein
UGT2A1,protein
NUP43,protein
MTMR2,protein
CYP11B2,protein
CLDN17,protein
FER,protein
MYD88,protein
TAT,protein
MAP2K2,protein
MAPK8,protein
DGKA,protein
EIF2AK3,protein
PDGFRA,protein
ACSS1,protein
CD28,protein
(S)-3-Hydroxyisobutyrate,compound
JAK1,protein
fm_737413,protein
SOS1,protein
SOS2,protein
fm_725911,protein
SMAD9,protein
SMAD5,protein
SMAD1,protein
DNAJC5G,protein
ATP6V0D2,protein
CES1,protein
Cytidine 5&,compound
fm_722596,protein
CDKN1C,protein
CDKN1B,protein
IFNGR2,protein
POLA2,protein
CCL3L3,protein
HMA,compound
SHMT1,protein
TSC2,protein
NLK,protein
TUBA4A,protein
ATP6V1D,protein
HLA-DRA,protein
Carbamazepine epoxide,compound
L-3-Hydroxy-alanine,compound
ITGB2,protein
ALOX5,protein
TUBB1,protein
fm_740641,protein
TCF7,protein
LEF1,protein
TCF7L2,protein
TCF7L1,protein
fm_721841,protein
PRSS3,protein
PRSS1,protein
CTSG,protein
F2,protein
PRSS2,protein
GZMA,protein
PLG,protein
Tetracycline,compound
SLC25A31,protein
PPP2R1B,protein
CAPN1,protein
TFG,protein
fm_740810,protein
EIF4G3,protein
EIF4G1,protein
Dephospho-CoA,compound
R-S-Glutathione,compound
ITGB6,protein
IDH3G,protein
PLA2G7,protein
GRB2,protein
CD8B,protein
(2E)-Dodecenoyl-[acp],compound
Pyrrolysine,compound
fm_709278,protein
ST3GAL2,protein
ST3GAL1,protein
TRAF2,protein
fm_715745,protein
PON3,protein
PON1,protein
PON2,protein
GSTM4,protein
3-Mercaptopyruvate,compound
POLR3K,protein
IKBKG,protein
ASPA,protein
UPF3B,protein
GPAT2,protein
fm_721720,protein
PRKCB,protein
PRKCA,protein
PRKCG,protein
fm_703511,protein
GLS,protein
GLS2,protein
CDKN1B,protein
TP53I3,protein
alpha-Keto-3-hydroxy-4-phosphobutyrate,compound
MAP2K3,protein
SLCO1B3,protein
LAMB2,protein
BRAF,protein
PIK3R3,protein
fm_714379,protein
,protein
,protein
fm_739633,protein
MAP2K2,protein
PLA2G2D,protein
THBS2,protein
TCF7,protein
fm_724800,protein
CHUK,protein
IKBKB,protein
IKBKG,protein
ATP1A3,protein
,compound
TUBB2B,protein
Formate,compound
"8,11,14-Icosatrienoate",compound
HRAS,protein
PARVB,protein
SDHD,protein
fm_736165,protein
NFKBIB,protein
NFKBIA,protein
C1GALT1,protein
ELMO1,protein
,compound
PFKFB4,protein
ATP1A4,protein
NDUFA11,protein
MMP1,protein
EP300,protein
HCLS1,protein
PLCB1,protein
IFNK,protein
PIK3CG,protein
PLCB3,protein
TLR4,protein
fm_712235,compound
,compound
Tegafur,compound
POLR2F,protein
PRKCA,protein
fm_715321,protein
GPAT2,protein
AGPAT6,protein
AGPAT9,protein
L-Prolyl-tRNA(Pro),compound
GALK1,protein
MAPK3,protein
UGP2,protein
NGF,protein
fm_735097,protein
UQCRB,protein
UQCR11,protein
CYTB,protein
UQCRFS1,protein
UQCRC2,protein
CYC1,protein
UQCRC1,protein
UQCRH,protein
UQCRQ,protein
AK1,protein
CAV1,protein
PLA2G12B,protein
Glycerate,compound
TAS1R1,protein
PLA2G5,protein
SLC4A2,protein
IPPK,protein
ACTN4,protein
RAF1,protein
PCYT1B,protein
fm_723691,protein
SAR1B,protein
SAR1A,protein
NDUFA7,protein
RRM2B,protein
,compound
CYP3A4,protein
D-3-Hydroxyhexanoyl-[acp],compound
CYCS,protein
PIK3CB,protein
fm_714938,protein
MAPK1,protein
PDIA4,protein
PTPN6,protein
DGKQ,protein
RAB11A,protein
GAL3ST1,protein
,protein
BAX,protein
2&,compound
PPP1CB,protein
fm_712332,protein
CES2,protein
CES5A,protein
fm_708880,protein
ADH1C,protein
fm_730839,protein
PIK3CD,protein
PIK3R2,protein
PIK3CB,protein
PIK3R1,protein
PIK3CG,protein
PIK3R5,protein
PIK3R3,protein
fm_703126,protein
CYP1A2,protein
CYP2A6,protein
CYP2A7,protein
CYP2A13,protein
PPP3CC,protein
ACSM1,protein
NFKB1,protein
TNFRSF6B,protein
3-Ureidopropionate,compound
fm_725907,protein
MAPK3,protein
MAPK1,protein
TUBB4Q,protein
MAP3K1,protein
CCL11,protein
N-Desmethyltamoxifen,compound
SOCS3,protein
CD80,protein
fm_735499,protein
AP2A1,protein
AP2B1,protein
AP2S1,protein
AP2M1,protein
UGT1A3,protein
fm_706397,protein
MAN2A2,protein
MAN2A1,protein
MPDZ,protein
,protein
PTK2B,protein
LCMT2,protein
CXCL12,protein
(2E)-Hexadecenoyl-CoA,compound
PRKACB,protein
ADRBK1,protein
3&,compound
fm_736761,protein
GNAI3,protein
GNAI2,protein
KRAS,protein
FTCD,protein
L-Glutamic acid,compound
ALDH7A1,protein
RB1,protein
GCNT2,protein
AGPAT3,protein
HLA-DMB,protein
Butyryl-[acp],compound
GABRA3,protein
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA",compound
TNFSF4,protein
,compound
NFKBIA,protein
PRKCE,protein
RFK,protein
fm_735918,protein
ATP6V1G2,protein
ATP6V1H,protein
ATP6V0E2,protein
ATP6V1F,protein
ATP6V0A1,protein
ATP6V0B,protein
ATP6V1A,protein
ATP6AP1,protein
ATP6V1E2,protein
ATP6V1D,protein
ATP6V0A2,protein
ATP6V1E1,protein
ATP6V1G1,protein
TCIRG1,protein
ATP6V0E1,protein
ATP6V0A4,protein
ATP6V0D2,protein
ATP6V0C,protein
ATP6V1C2,protein
ATP6V1B2,protein
,compound
,compound
fm_708229,protein
TAZ,protein
RUNX1,protein
YWHAG,protein
APAF1,protein
Methadone,compound
PIK3R2,protein
(9-D-Ribosylxanthine)-5&,compound
TAS2R41,protein
CHMP4A,protein
,compound
D-threo-Pentulose,compound
ASS1,protein
PPP3R2,protein
XCL2,protein
GBGT1,protein
fm_701657,protein
HMGCS1,protein
HMGCS2,protein
GLUD1,protein
fm_734937,protein
CAPN2,protein
NT5C1B,protein
PLA2G2A,protein
,protein
Adenosine 5&,compound
CTNNA2,protein
AASS,protein
MAP2K2,protein
UAP1L1,protein
PIAS4,protein
CRK,protein
11-Deoxycortisol,compound
PIK3CB,protein
,compound
UGT2A3,protein
fm_733987,protein
MYLK3,protein
MYLK,protein
beta-D-Fructose 6-phosphate,compound
RAB4A,protein
RIPK3,protein
KRAS,protein
fm_714026,protein
,protein
,protein
UGT2B4,protein
fm_712072,compound
,compound
Carbamazepine,compound
"5alpha-Pregnane-3alpha,20alpha-diol",compound
fm_738612,protein
AXIN1,protein
AXIN2,protein
3-Acetoacetyl-CoA,compound
fm_722660,protein
E2F5,protein
E2F4,protein
fm_726537,protein
NFKB2,protein
RELB,protein
CTSS,protein
,compound
2-Oxoisocaproate,compound
GK2,protein
COX6C,protein
,protein
fm_735644,protein
CTNNA3,protein
CTNNA2,protein
CTNNA1,protein
RFC4,protein
SDS,protein
MAP3K8,protein
ENO1,protein
GNAQ,protein
MAPK3,protein
HES1,protein
FZD1,protein
Chenodeoxycholoyl-CoA,compound
POLD4,protein
F5,protein
fm_722110,protein
PTH1R,protein
PTH2R,protein
AMPD2,protein
MAP2K1,protein
HGF,protein
SULT1A1,protein
AKR1B1,protein
WASL,protein
fm_733102,protein
PRKAA2,protein
PRKAB1,protein
PRKAG1,protein
PRKAG3,protein
PRKAG2,protein
PLD1,protein
fm_725022,protein
MYLK,protein
MYLK2,protein
,compound
HKDC1,protein
fm_738412,protein
KRAS,protein
NRAS,protein
RAC2,protein
MAPK14,protein
ITPKB,protein
CXCL11,protein
PNPT1,protein
MYL3,protein
fm_703774,protein
DNMT3L,protein
TRDMT1,protein
DNMT3B,protein
DNMT1,protein
HGSNAT,protein
ROCK1,protein
LOC100133583,protein
fm_732433,protein
HK3,protein
HK2,protein
HK1,protein
HKDC1,protein
Ethylenesuccinic acid,compound
PIK3CG,protein
ITGA10,protein
PIK3CD,protein
SMAD7,protein
GLUD1,protein
PAIP1,protein
HSPA2,protein
MMP1,protein
Diglyceride,compound
TGFB2,protein
Se-Methyl-L-selenocysteine,compound
CLDN11,protein
MAD2L2,protein
AFMID,protein
HLA-C,protein
CCNE1,protein
PDCD1,protein
PIK3CA,protein
ADCY4,protein
fm_739871,protein
HRAS,protein
NRAS,protein
KRAS,protein
IFNA10,protein
INPP5B,protein
CAMK2D,protein
fm_725647,protein
CTBP1,protein
CTBP2,protein
fm_727941,protein
GUCY1A3,protein
GUCY1B3,protein
GUCY1A2,protein
PRKG1,protein
SRGAP3,protein
fm_708163,protein
EPT1,protein
RAC1,protein
p-Hydroxyphenylpyruvic acid,compound
GADD45A,protein
CYP2U1,protein
Allantoate,compound
G6PD,protein
fm_728244,protein
KIR2DS3,protein
KIR3DL2,protein
KIR2DL4,protein
KLRD1,protein
KIR3DL3,protein
KLRC4,protein
KIR2DL1,protein
KIR2DS5,protein
KIR2DL5A,protein
KLRC2,protein
KIR2DL3,protein
KLRC3,protein
KIR2DS1,protein
KIR3DL1,protein
SOS2,protein
"5beta-Pregnane-3,20-dione",compound
PRKAB1,protein
PIK3CG,protein
,protein
fm_712060,compound
,compound
LAAM,compound
KRAS,protein
POLR3GL,protein
SEPSECS,protein
PAK6,protein
,protein
WNT7B,protein
MYL10,protein
,protein
fm_729346,protein
TNFRSF10B,protein
TNFRSF10D,protein
TNFRSF10C,protein
TNFRSF10A,protein
1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,compound
4-Acetamidobutanal,compound
HPSE2,protein
IFNK,protein
HLA-C,protein
VARS,protein
GSTT2,protein
UGT2B4,protein
TCF7L2,protein
fm_720481,protein
NRAS,protein
KRAS,protein
HRAS,protein
FZD10,protein
SOS1,protein
IL5,protein
fm_721454,protein
GNAI1,protein
GNAI2,protein
GNAI3,protein
CCL13,protein
PLA2G1B,protein
SMAD2,protein
Calcifediol anhydrous,compound
FPR3,protein
PNLIPRP2,protein
RUNX1,protein
GLB1,protein
PFN3,protein
NT5C2,protein
POLR2B,protein
CYC1,protein
GSK3B,protein
PRPS2,protein
KRAS,protein
COX1,protein
2-Chloromaleylacetate,compound
ATP6V1B2,protein
MAPK10,protein
(S)-2-Methylbutanoyl-CoA,compound
HYI,protein
VDAC1,protein
7alpha-Hydroxycholesterol,compound
2-Phosphoglycolate,compound
Uridine 5&,compound
,compound
DDX20,protein
CDS1,protein
,compound
RAC3,protein
CACNB4,protein
PCF11,protein
NOS3,protein
TGFB3,protein
ITPR2,protein
SRGAP1,protein
PGS1,protein
MAP2K2,protein
ITGA5,protein
fm_732034,protein
TIAM2,protein
TIAM1,protein
VAV1,protein
VAV3,protein
VAV2,protein
,protein
2&,compound
CCL4,protein
fm_733509,protein
MAPK3,protein
MAPK1,protein
BDH1,protein
3-Oxopropanoate,compound
HLA-DMB,protein
RRM2B,protein
AOC3,protein
,compound
fm_736275,protein
ITGB2,protein
ITGAM,protein
CSH1,protein
,protein
STAT5B,protein
fm_714217,protein
,protein
,protein
,protein
"1,2-Propanediol",compound
fm_712193,compound
,compound
JUN,protein
9-cis-Retinal,compound
,protein
CCL27,protein
MPST,protein
ADH1C,protein
MAT1A,protein
fm_725621,protein
SOS2,protein
SOS1,protein
LAMP2,protein
fm_728804,protein
IL12A,protein
IL12B,protein
Sedoheptulose 7-phosphate,compound
HLA-DRA,protein
Uridine 5&,compound
,compound
IL1A,protein
fm_724745,protein
ATM,protein
LOC651610,protein
fm_733576,protein
RAB5C,protein
RAB5A,protein
GNPDA2,protein
ASL,protein
"(22R)-20alpha,22-Dihydroxycholesterol",compound
"17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione",compound
DLL1,protein
CNTF,protein
AURKA,protein
HLA-DQA1,protein
MAPK1,protein
TAP2,protein
(R)-Methylmalonyl-CoA,compound
,compound
fm_733893,protein
PRKACA,protein
PRKX,protein
PRKACG,protein
PRKACB,protein
ZAP70,protein
WNT5A,protein
3-Oxohexadecanoyl-CoA,compound
POLR3C,protein
ALDH9A1,protein
"5,6,7,8-Tetrahydrobiopterin",compound
fm_706430,protein
ALG10B,protein
ALG10,protein
CLDN6,protein
XYLT1,protein
